#Batch costTraining precTraining
887 0.009411601 0.97202843
888 0.037783302 0.9720146
889 0.05537898 0.9720223
890 0.053318065 0.9720085
891 0.03228604 0.9720162
892 0.054843955 0.9719813
893 0.05269647 0.971989
894 0.02141155 0.9719966
895 0.015191133 0.97204643
896 0.024779832 0.97209597
897 0.04528613 0.9721033
898 0.022801034 0.9721524
899 0.05690224 0.9721387
900 0.028344464 0.97214586
901 0.09416393 0.9720698
902 0.033778634 0.97207713
903 0.067568846 0.97206366
904 0.033223685 0.9720503
905 0.024977496 0.97209877
906 0.009541633 0.9721675
907 0.02335536 0.9721949
908 0.027702395 0.9722018
909 0.019126495 0.9722494
910 0.03225236 0.97227645
911 0.059771076 0.9722425
912 0.03933984 0.9722492
913 0.035933327 0.9722558
914 0.03996452 0.9722625
915 0.044990625 0.972249
916 0.05366618 0.97223556
917 0.06083915 0.97220224
918 0.015100198 0.9722488
919 0.028929185 0.97227526
920 0.028113123 0.9723016
921 0.059705034 0.9722882
922 0.037425816 0.97231436
923 0.05527722 0.97232074
924 0.04636996 0.9723074
925 0.07169827 0.9722549
926 0.05631471 0.97224176
927 0.0437969 0.97224826
928 0.053975925 0.9722157
929 0.06927559 0.972164
930 0.048267107 0.97215116
931 0.05207518 0.97213846
932 0.056415416 0.97212577
933 0.052561305 0.9721132
934 0.04209634 0.9721198
935 0.051437322 0.9721264
936 0.045567095 0.97213304
937 0.01452867 0.97217774
938 0.047318656 0.9721842
939 0.04608267 0.9721716
940 0.025084013 0.97217804
941 0.015337978 0.9722222
942 0.06262002 0.97215307
943 0.026392221 0.97217834
944 0.06836739 0.97216594
945 0.016060667 0.97219104
946 0.056056928 0.97217864
947 0.022466838 0.9722222
948 0.041196562 0.9722098
949 0.028362503 0.972216
950 0.07693117 0.97216666
951 0.042867597 0.9721545
952 0.037452653 0.97216076
953 0.054150686 0.97214866
954 0.06256814 0.9721182
955 0.040396918 0.9721245
956 0.014917233 0.9721674
957 0.04125808 0.97215533
958 0.075260855 0.9721252
959 0.075426765 0.97207695
960 0.0046699275 0.9721377
